"id","code","name","ar_name","county_code"
"147","0531","Foum toub","فم الطوب","530"
"148","0532","Beni foudhala el hakania","بني فضالة الحقانية","545"
"149","0533","Oued el ma","وادي الماء","504"
"150","0534","Talkhamt","تالخمت","551"
"151","0535","Bouzina","بوزينة","535"
"152","0536","Chemora","الشمرة","536"
"153","0537","Oued chaaba","وادي الشعبة","501"
"154","0538","Taxlent","تاكسلانت","553"
"155","0539","Gosbat","القصبات","551"
"156","0540","Ouled aouf","أولاد عوف","545"
"157","0541","Boumagueur","بومقر","509"
"158","0542","Barika","بريكة","542"
"159","0543","Djezzar","الجزار","543"
"160","0544","T kout","تكوت","544"
"161","0545","Ain touta","عين التوتة","545"
"162","0546","Hidoussa","حيدوسة","504"
"163","0547","Teniet el abed","ثنية العابد","547"
"164","0548","Oued taga","وادي الطاقة","547"
"165","0549","Ouled fadel","أولاد فاضل","550"
"166","0550","Timgad","تيمقاد","550"
"167","0551","Ras el aioun","رأس العيون","551"
"168","0552","Chir","شير","547"
"169","0553","Ouled si slimane","أولاد سي سليمان","553"
"170","0554","Zanet el beida","زانة البيضاء","505"
"171","0555","M doukal","إمدوكل","542"
"172","0556","Ouled ammar","أولاد عمار","543"
"173","0557","El hassi","الحاسي","519"
"174","0558","Lazrou","لازرو","505"
"175","0559","Boumia","بومية","507"
"176","0560","Boulhilat","بولهيلات","536"
"177","0561","Larbaa","لارباع","535"
"178","0601","Bejaia","بجاية","601"
"179","0602","Amizour","أميزور","602"
"180","0603","Feraoun","فرعون","602"
"181","0604","Taourit ighil","تاوريرت إغيل","624"
"182","0605","Chellata","شلاطة","625"
"183","0606","Tamokra","تامقرة","625"
"184","0607","Timezrit","تيمزريت","607"
"185","0608","Souk el tenine","سوق لإثنين","608"
"186","0609","M'cisna","مسيسنة","626"
"187","0610","Tinebdar","تينبدار","639"
"188","0611","Tichy","تيشي","611"
"189","0612","Smaoun","سمعون","602"
"190","0613","Kendira","كنديرة","634"
"191","0614","Tifra","تيفرة","639"
"192","0615","Ighram","اغرم","625"
"193","0616","Amalou","أمالو","626"
"194","0617","Ighil-ali","إغيل علي","617"
"195","0618","Fenaia il maten","فناية الماثن","640"
"196","0619","Toudja","توجة","640"
"197","0620","Darguina","درقينة","620"
"198","0621","Sidi ayad","سيدي عياد","639"
"199","0622","Aokas","أوقاس","622"
"200","0623","Beni djellil","بني جليل","602"
"201","0624","Adekar","أدكار","624"
"202","0625","Akbou","أقبو","625"
"203","0626","Seddouk","صدوق","626"
"204","0627","Tazmalt","تازمالت","627"
"205","0628","Ait r'zine","أيت رزين","617"
"206","0629","Chemini","شميني","629"
"207","0630","Souk oufella","سوق اوفلا","629"
"208","0631","Taskriout","تاسكريوت","620"
"209","0632","Tibane","طيبان","629"
"210","0633","Tala hamza","تالة حمزة","611"
"211","0634","Barbacha","برباشة","634"
"212","0635","Beni k'sila","بني كسيلة","624"
"213","0636","Ouzellaguen","أوزلاقن","636"
"214","0637","Bouhamza","بوحمزة","626"
"215","0638","Beni-mallikeche","بني مليكش","627"
"216","0639","Sidi-aich","سيدي عيش","639"
"217","0640","El kseur","القصر","640"
"218","0641","Melbou","مالبو","608"
"219","0642","Akfadou","أكفادو","629"
"220","0643","Leflaye","الفلاي","639"
"221","0644","Kherrata","خراطة","644"
"222","0645","Dra el caid","ذراع القايد","644"
"223","0646","Tamridjet","تامريجت","608"
"224","0647","Ait-smail","أيت إسماعيل","620"
"225","0648","Boukhelifa","بوخليفة","611"
"226","0649","Tizi-n'berber","تيزي نبربر","622"
"227","0650","Benimaouche","بني معوش","650"
"228","0651","Oued ghir","وادي غير","601"
"229","0652","Boudjellil","بو جليل","627"
"230","0701","Biskra","بسكرة","701"
"231","0702","Oumache","أوماش","724"
"232","0703","Branis","برانيس","720"
"233","0704","Chetma","شتمة","711"
"234","0705","Ouled djellal","أولاد جلال","705"
"235","0706","Ras el miad","رأس الميعاد","708"
"236","0707","Besbes","بسباس","708"
"237","0708","Sidi khaled","سيدي  خالد","708"
"238","0709","Doucen","الدوسن","705"
"239","0710","Chaiba","الشعيبة","705"
"240","0711","Sidi okba","سيدي عقبة","711"
"241","0712","M'chouneche","مشونش","712"
"242","0713","El haouch","الحوش","711"
"243","0714","Ain naga","عين الناقة","711"
"244","0715","Zeribet el oued","زريبة الوادي","715"
"245","0716","El feidh","الفيض","715"
"246","0717","El kantara","القنطرة","717"
"247","0718","Ain zaatout","عين زعطوط","717"
"248","0719","El outaya","الوطاية","719"
"249","0720","Djemorah","جمورة","720"
"250","0721","Tolga","طولقة","721"
"251","0722","Lioua","ليوة","724"
"252","0723","Lichana","ليشانة","721"
"253","0724","Ourlal","أورلال","724"
"254","0725","M'lili","مليلي","724"
"255","0726","Foughala","فوغالة","726"
"256","0727","Bordj ben azzouz","برج بن عزوز","721"
"257","0728","Meziraa","المزيرعة","715"
"258","0729","Bouchakroun","بوشقرون","721"
"259","0730","Mekhadma","مخادمة","724"
"260","0731","El ghrous","الغروس","726"
"261","0732","El hadjab","الحاجب","701"
"262","0733","Khenguet sidi nadji","خنقة سيدي ناجي","715"
"263","0801","Bechar","بشار","801"
"264","0802","Erg-ferradj","عرق فراج","817"
"265","0803","Ouled-khodeir","أولاد خضير","803"
"266","0804","Meridja","المريجة","810"
"267","0805","Timoudi","تيمودي","818"
"268","0806","Lahmar","لحمر","806"
"269","0807","Beni-abbes","بني عباس","807"
"270","0808","Beni-ikhlef","بن يخلف","818"
"271","0809","Machraa-houari-boumediene","مشرع هواري بومدين","817"
"272","0810","Kenadsa","القنادسة","810"
"273","0811","Igli","إقلي","811"
"274","0812","Tabelbala","تبلبالة","812"
"275","0813","Taghit","تاغيت","813"
"276","0814","El ouata","الواتة","814"
"277","0815","Boukais","بوكايس","806"
"278","0816","Mogheul","موغل","806"
"279","0817","Abadla","العبادلة","817"
"280","0818","Kerzaz","كرزاز","818"
"281","0819","Ksabi","القصابي","803"
"282","0820","Tamtert","تامترت","807"
"283","0821","Beni-ounif","بني ونيف","821"
"284","0901","Blida","البليدة","901"
"285","0902","Chebli","الشبلي","903"
"286","0903","Bouinan","بوعينان","903"
"287","0904","Oued el alleug","وادي العلايق","904"
"288","0905","Ouled yaich","أولاد يعيش","905"
"289","0906","Chrea","الشريعة","905"
"290","0907","El-affroun","العفرون","907"
"291","0908","Chiffa","الشفة","912"
"292","0909","Hammam elouane","حمام ملوان","922"
"293","0910","Benkhelil","بن خليل","904"
"294","0911","Soumaa","الصومعة","916"
"295","0912","Mouzaia","موزاية","912"
"296","0913","Souhane","صوحان","917"
"297","0914","Meftah","مفتاح","914"
"298","0915","Ouled slama","اولاد سلامة","922"
"299","0916","Boufarik","بوفاريك","916"
"300","0917","Larbaa","الأربعاء","917"
"301","0918","Oued  djer","وادي جر","907"
"302","0919","Beni-tamou","بني تامو","904"
"303","0920","Bouarfa","بوعرفة","901"
"304","0921","Beni mered","بني مراد","905"
"305","0922","Bougara","بوقرة","922"
"306","0923","Guerrouaou","قرواو","916"
"307","0924","Ain romana","عين الرمانة","912"
"308","0925","Djebabra","جبابرة","914"
"309","1001","Bouira","البويرة","1001"
"310","1002","El asnam","الأسنام","1033"
"311","1003","Guerrouma","قرومة","1013"
"312","1004","Souk el khemis","سوق الخميس","1004"
"313","1005","Kadiria","قادرية","1005"
"314","1006","Hanif","حنيف","1037"
"315","1007","Dirah","ديرة","1038"
"316","1008","Ait laaziz","أيت لعزيز","1001"
"317","1009","Taghzout","تاغزوت","1012"
"318","1010","Raouraoua","روراوة","1036"
"319","1011","Mezdour","مزدور","1018"
"320","1012","Haizer","حيزر","1012"
"321","1013","Lakhdaria","الأخضرية","1013"
"322","1014","Maala","معلة","1013"
"323","1015","El hachimia","الهاشمية","1015"
"324","1016","Aomar","أعمر","1005"
"325","1017","Chorfa","شرفة","1037"
"326","1018","Bordj okhriss","برج أوخريص","1018"
"327","1019","El adjiba","العجيبة","1033"
"328","1020","El-hakimia","الحاكمية","1038"
"329","1021","El khabouzia","الخبوزية","1036"
"330","1022","Ahl el ksar","أهل القصر","1033"
"331","1023","Bouderbala","بودربالة","1013"
"332","1024","Z'barbar (el isseri )","زبربر","1013"
"333","1025","Ain el hadjar","عين الحجر","1035"
"334","1026","Djebahia","جباحية","1005"
"335","1027","Aghbalou","أغبالو","1037"
"336","1028","Taguedite","تاقديت","1018"
"337","1029","Ain turk","عين الترك","1001"
"338","1030","Saharidj","سحاريج","1037"
"339","1031","Dechmia","الدشمية","1038"
"340","1032","Ridane","ريدان","1038"
"341","1033","Bechloul","بشلول","1033"
"342","1034","Boukram","بوكرم","1013"
"343","1035","Ain-bessem","عين بسام","1035"
"344","1036","Bir ghbalou","بئر غبالو","1036"
"345","1037","M chedallah","أمشدالة","1037"
"346","1038","Sour el ghozlane","سور الغزلان","1038"
"347","1039","Maamora","المعمورة","1038"
"348","1040","Ouled rached","أولاد راشد","1033"
"349","1041","Ain laloui","عين العلوي","1035"
"350","1042","Hadjera zerga","الحجرة الزرقاء","1018"
"351","1043","Ath mansour","آث  منصور","1037"
"352","1044","El-mokrani","المقراني","1004"
"353","1045","Oued el berdi","وادي البردي","1015"
"354","1101","Tamanrasset","تمنراست","1101"
"355","1102","Abelsa","ابلسة","1102"
"356","1103","Inghar","إينغر","1103"
"357","1104","Ain guezzam","عين قزام","1104"
"358","1104","Ain guezzam","عين قزام","1104"
"359","1105","Idles","أدلس","1106"
"360","1106","Tazrouk","تاظروك","1106"
"361","1107","Tin zouatine","تين زواتين","1107"
"362","1108","Ain salah","عين صالح","1108"
"363","1108","Ain salah","عين صالح","1108"
"364","1109","Ain amguel","عين امقل","1101"
"365","1110","Foggaret ezzoua","فقارة الزوى","1108"
"366","1110","Foggaret ezzoua","فقارة الزوى","1108"
"367","1201","Tebessa","تبسة","1201"
"368","1202","Bir-el-ater","بئر العاتر","1202"
"369","1203","Cheria","الشريعة","1203"
"370","1204","Stah guentis","سطح قنطيس","1213"
"371","1205","El-aouinet","العوينات","1205"
"372","1206","El-houidjbet","الحويجبات","1220"
"373","1207","Saf saf el ouesra","صفصاف الوسرى","1221"
"374","1208","Hammamet","الحمامات","1210"
"375","1209","Negrine","نقرين","1209"
"376","1210","Bir mokkadem","بئر مقدم","1210"
"377","1211","El kouif","الكويف","1211"
"378","1212","Morsott","مرسط","1212"
"379","1213","El ogla","العقلة","1213"
"380","1214","Bir dheheb","بئر الذهب","1212"
"381","1215","El ogla el malha","العقلة المالحة","1202"
"382","1216","Guorriguer","قريقر","1210"
"383","1217","Bekkaria","بكارية","1211"
"384","1218","Boukhadra","بوخضرة","1205"
"385","1219","Ouenza","الونزة","1219"
"386","1220","El malabiod","الماء الابيض","1220"
"387","1221","Oum ali","أم علي","1221"
"388","1222","Telidjen","ثليجان","1203"
"389","1223","Ain zerga","عين الزرقاء","1219"
"390","1224","El meridj","المريج","1219"
"391","1225","Boulhaf dyr","بولحاف الدير","1211"
"392","1226","Bedjene","بجن","1213"
"393","1227","El mezeraa","المزرعة","1213"
"394","1228","Ferkane","فركان","1209"
"395","1301","Tlemcen","تلمسان","1301"
"396","1302","Beni mester","بني مستر","1351"
"397","1303","Ain tellout","عين تالوت","1303"
"398","1304","Remchi","الرمشي","1304"
"399","1305","El fehoul","الفحول","1304"
"400","1306","Sabra","صبرة","1306"
"401","1307","Ghazaouet","الغزوات","1307"
"402","1308","Souani","السواني","1318"
"403","1309","Djebala","جبالة","1340"
"404","1310","El gor","القور","1335"
"405","1311","Oued lakhdar","وادي الخضر","1313"
"406","1312","Ain fezza","عين فزة","1350"
"407","1313","Ouled mimoun","أولاد ميمون","1313"
"408","1314","Amieur","عمير","1350"
"409","1315","Ain youcef","عين يوسف","1304"
"410","1316","Zenata","زناتة","1326"
"411","1317","Beni snous","بني سنوس","1317"
"412","1318","Bab el assa","باب العسة","1318"
"413","1319","Dar yaghmoracen","دار يغمراسن","1307"
"414","1320","Fellaoucene","فلاوسن","1320"
"415","1321","Azail","العزايل","1317"
"416","1322","Sebbaa chioukh","سبعة شيوخ","1304"
"417","1323","Terny beni hediel","تيرني بني هديل","1351"
"418","1324","Bensekrane","بن سكران","1324"
"419","1325","Ain nehala","عين النحالة","1303"
"420","1326","Hennaya","الحناية","1326"
"421","1327","Maghnia","مغنية","1327"
"422","1328","Hammam boughrara","حمام بوغرارة","1327"
"423","1329","Souahlia","السواحلية","1307"
"424","1330","M'sirda fouaga","مسيردة الفواقة","1339"
"425","1331","Ain fetah","عين فتاح","1320"
"426","1332","El aricha","العريشة","1335"
"427","1333","Souk tleta","سوق الثلاثاء","1318"
"428","1334","Sidi abdelli","سيدي العبدلي","1324"
"429","1335","Sebdou","سبدو","1335"
"430","1336","Beni ouarsous","بني وارسوس","1304"
"431","1337","Sidi medjahed","سيدي مجاهد","1338"
"432","1338","Beni boussaid","بني بوسعيد","1338"
"433","1339","Marsa ben m'hidi","مرسى بن مهيدي","1339"
"434","1340","Nedroma","ندرومة","1340"
"435","1341","Sidi djillali","سيدي الجيلالي","1341"
"436","1342","Beni bahdel","بني بهدل","1317"
"437","1343","Bouihi","البويهي","1341"
"438","1344","Honnaine","هنين","1344"
"439","1345","Tianet","تيانت","1307"
"440","1346","Ouled riyah","أولاد رياح","1326"
"441","1347","Bouhlou","بوحلو","1306"
"442","1348","Beni khellad","بني خلاد","1344"
"443","1349","Ain ghoraba","عين غرابة","1351"
"444","1350","Chetouane","شتوان","1350"
"445","1351","Mansourah","منصورة","1351"
"446","1352","Beni smiel","بني صميل","1313"
"447","1353","Ain kebira","عين الكبيرة","1320"
"448","1401","Tiaret","تيارت","1401"
"449","1402","Medroussa","مدروسة","1402"
"450","1403","Ain bouchekif","عين بوشقيف","1413"
"451","1404","Sidi ali mellal","سيدي علي ملال","1433"
"452","1405","Ain dzarit","عين دزاريت","1415"
"453","1406","Ain deheb","عين الذهب","1406"
"454","1407","Sidi bakhti","سيدي بختي","1402"
"455","1408","Medrissa","مدريسة","1428"
"456","1409","Zmalet el emir abdelkade","زمالة  الأمير عبد القادر","1429"
"457","1410","Madna","مادنة","1428"
"458","1411","Sebt","السبت","1421"
"459","1412","Mellakou","ملاكو","1402"
"460","1413","Dahmouni","دحموني","1413"
"461","1414","Rahouia","الرحوية","1414"
"462","1415","Mahdia","مهدية","1415"
"463","1416","Sougueur","السوقر","1416"
"464","1417","Si abdelghani","سي عبد الغني","1416"
"465","1418","Ain el hadid","عين الحديد","1427"
"466","1419","Djebilet rosfa","جبيلات الرصفاء","1428"
"467","1420","Naima","النعيمة","1406"
"468","1421","Meghila","مغيلة","1421"
"469","1422","Guertoufa","قرطوفة","1414"
"470","1423","Sidi hosni","سيدي حسني","1421"
"471","1424","Djillali ben amar","جيلالي بن عمار","1434"
"472","1425","Sebaine","السبعين","1415"
"473","1426","Tousnina","توسنينة","1416"
"474","1427","Frenda","فرندة","1427"
"475","1428","Ain kermes","عين كرمس","1428"
"476","1429","Ksar chellala","قصر الشلالة","1429"
"477","1430","Rechaiga","الرشايقة","1435"
"478","1431","Nadorah","الناظورة","1415"
"479","1432","Tagdempt","تاقدمت","1434"
"480","1433","Oued lilli","وادي ليلي","1433"
"481","1434","Mechraa safa","مشرع الصفا","1434"
"482","1435","Hamadia","حمادية","1435"
"483","1436","Chehaima","شحيمة","1406"
"484","1437","Takhemaret","تخمرت","1427"
"485","1438","Sidi abderrahmane","سيدي عبد الرحمن","1428"
"486","1439","Serghine","سرغين","1429"
"487","1440","Bougara","بوقرة","1435"
"488","1441","Faidja","الفايجة","1416"
"489","1442","Tidda","تيدة","1433"
"490","1501","Tizi-ouzou","تيزي وزو","1501"
"491","1502","Ain-el-hammam","عين الحمام","1502"
"492","1503","Akbil","اقبيل","1502"
"493","1504","Freha","فريحة","1518"
"494","1505","Souama","صوامـــع","1550"
"495","1506","Mechtras","مشطراس","1540"
"496","1507","Irdjen","إيرجـــن","1521"
"497","1508","Timizart","تيمـيزار","1524"
"498","1509","Makouda","ماكودة","1509"
"499","1510","Draa-el-mizan","ذراع الميزان","1510"
"500","1511","Tizi-gheniff","تيزي غنيف","1511"
"501","1512","Bounouh","بونوح","1540"
"502","1513","Ait-chafaa","أيت شافع","1537"
"503","1514","Frikat","فريقات","1510"
"504","1515","Beni-aissi","بني عيسي","1532"
"505","1516","Beni zmenzer","بنــــي زمنزار","1532"
"506","1517","Iferhounene","إفــرحــونان","1517"
"507","1518","Azazga","عزازقة","1518"
"508","1519","Illoula oumalou","إيلولة أومـــالو","1534"
"509","1520","Yakourene","إعــكورن","1518"
"510","1521","Larbaa nath irathen","الأربعــاء ناث إيراثن","1521"
"511","1522","Tizi-rached","تيزي راشد","1522"
"512","1523","Zekri","زكري","1518"
"513","1524","Ouaguenoun","واقنون","1524"
"514","1525","Ain-zaouia","عين الزاوية","1510"
"515","1526","M'kira","مكيرة","1511"
"516","1527","Ait-yahia","أيت يحيى","1502"
"517","1528","Ait-mahmoud","أيت محمود","1532"
"518","1529","Maatkas","معـــاتقة","1529"
"519","1530","Ait boumahdi","أيت بومهدي","1548"
"520","1531","Abi-youcef","أبي يوسف","1502"
"521","1532","Beni-douala","بني دوالة","1532"
"522","1533","Illilten","إيلـيــلتـن","1517"
"523","1534","Bouzeguene","بوزقــن","1534"
"524","1535","Ait aggouacha","أيت عقـواشة","1521"
"525","1536","Ouadhias","واضية","1536"
"526","1537","Azeffoun","أزفون","1537"
"527","1538","Tigzirt","تيقـزيرت","1538"
"528","1539","Ait-aissa-mimoun","أيت عيسى ميمون","1524"
"529","1540","Boghni","بوغني","1540"
"530","1541","Ifigha","إيفيغاء","1518"
"531","1542","Ait-oumalou","أيت  أومالو","1522"
"532","1543","Tirmitine","تيرمتين","1547"
"533","1544","Akerrou","أقرو","1537"
"534","1545","Yatafene","يطــافن","1552"
"535","1546","Beni-zikki","بني زيكــي","1534"
"536","1547","Draa-ben-khedda","ذراع بن خدة","1547"
"537","1548","Ouacif","واسيف","1548"
"538","1549","Idjeur","إيجــار","1534"
"539","1550","Mekla","مقــلع","1550"
"540","1551","Tizi n'tleta","تيزي نثلاثة","1536"
"541","1552","Beni-yenni","بني يني","1552"
"542","1553","Aghribs","أغريب","1537"
"543","1554","Iflissen","إفليـــسن","1538"
"544","1555","Boudjima","بوجيمة","1509"
"545","1556","Ait yahia moussa","أيت يحي موسى","1510"
"546","1557","Souk-el-tenine","سوق الإثنين","1529"
"547","1558","Ait khellili","أيت خليلي","1550"
"548","1559","Sidi namane","سيدي نعمان","1547"
"549","1560","Iboudrarene","إبودرارن","1552"
"550","1561","Agouni-gueghrane","أقني قغران","1536"
"551","1562","Mizrana","ميزرانـــة","1538"
"552","1563","Imsouhal","إمســوحال","1517"
"553","1564","Tadmait","تادمايت","1547"
"554","1565","Ait bouaddou","أيت بــوادو","1536"
"555","1566","Assi-youcef","أسي يوسف","1540"
"556","1567","Ait-toudert","أيت تودرت","1548"
"557","1601","Alger centre","الجزائر الوسطى","1602"
"558","1602","Sidi m'hamed","سيدي امحمد","1602"
"559","1603","El madania","المدنية","1602"
"560","1604","Mohamed belouzdad","محمد بلوزداد","1617"
"561","1605","Bab el oued","باب الوادي","1605"
"562","1606","Bologhine ibnou ziri","بولوغين بن زيري","1605"
"563","1607","Casbah","القصبة","1605"
"564","1608","Oued koriche","وادي قريش","1605"
"565","1609","Bir mourad rais","بئر مراد رايس","1609"
"566","1610","El biar","الابيار","1611"
"567","1611","Bouzareah","بوزريعة","1611"
"568","1612","Birkhadem","بئر خادم","1609"
"569","1613","El harrach","الحراش","1613"
"570","1614","Baraki","براقي","1614"
"571","1615","Oued smar","وادي السمار","1613"
"572","1616","Bourouba","بوروبة","1613"
"573","1617","Hussein dey","حسين داي","1617"
"574","1618","Kouba","القبة","1617"
"575","1619","Bachedjerah","باش جراح","1613"
"576","1620","Dar el beida","الدار البيضاء","1620"
"577","1621","Bab ezzouar","باب الزوار","1620"
"578","1622","Ben aknoun","ابن عكنون","1611"
"579","1623","Dely ibrahim","دالي ابراهيم","1652"
"580","1624","Hammamet","الحمامات","1652"
"581","1625","Rais hamidou","الرايس حميدو","1605"
"582","1626","Djasr kasentina","جسر قسنطينة","1609"
"583","1627","El mouradia","المرادية","1602"
"584","1628","Hydra","حيدرة","1609"
"585","1629","Mohammadia","المحمدية","1620"
"586","1630","Bordj el kiffan","برج الكيفان","1620"
"587","1631","El magharia","المغارية","1617"
"588","1632","Beni messous","بني مسوس","1611"
"589","1633","Les eucalyptus","الكاليتوس","1614"
"590","1634","Tessala el merdja","تسالة المرجة","1636"
"591","1635","Ouled chebel","اولاد شبل","1636"
"592","1636","Bir touta","بئر توتة","1636"
"593","1637","Sidi moussa","سيدي موسى","1614"
"594","1638","Rouiba","الرويبة","1638"
"595","1639","Herraoua","هراوة","1638"
"596","1640","Reghaia","رغاية","1638"
"597","1641","Ain taya","عين طاية","1620"
"598","1642","Bordj el bahri","برج البحري","1620"
"599","1643","El marsa","المرسى","1620"
"600","1644","Zeralda","زرالدة","1644"
"601","1645","Sehaoula","السحاولة","1609"
"602","1646","Maalma","المعالمة","1644"
"603","1647","Baba hassen","بابا حسن","1649"
"604","1648","Douira","الدويرة","1649"
"605","1649","Draria","الدرارية","1649"
